id,task,answer,schema,Превью,comment ,answer_correct_flg ,schema_correct_flg ,task_problem ,cls_theme_0_slug,cls_theme_1_slug,Раздел,Темы,cls_grade_group
1_may-aug,"Найдите значение многочлена −(6n^2 3m + 6n^2 2n−mn^2) при m=1, n=2",$-164$,"action
Подставим значения $m = 1$ и $n = 2$ в многочлен $-(6n^2 3m + 6n^2 2n - mn^2)$.
solution
Подставим $m = 1$ и $n = 2$ в выражение $-(6n^2 \cdot 3m + 6n^2 \cdot 2n - mn^2)$, получим $-(6 \cdot 2^2 \cdot 3 \cdot 1 + 6 \cdot 2^2 \cdot 2 \cdot 2 - 1 \cdot 2^2)$.
answer
$-(6 \cdot 2^2 \cdot 3 \cdot 1 + 6 \cdot 2^2 \cdot 2 \cdot 2 - 1 \cdot 2^2)$

action
Вычислим каждый член многочлена отдельно.
solution
Вычислим первый член: $6 \cdot 2^2 \cdot 3 \cdot 1 = 6 \cdot 4 \cdot 3 = 72$.
Вычислим второй член: $6 \cdot 2^2 \cdot 2 \cdot 2 = 6 \cdot 4 \cdot 4 = 96$.
Вычислим третий член: $1 \cdot 2^2 = 1 \cdot 4 = 4$.
answer
$72$, $96$, $4$

action
Сложим все члены многочлена.
solution
Сложим полученные значения: $72 + 96 - 4 = 164$.
answer
$164$

action
Применим знак минус к результату.
solution
Так как перед скобками стоит знак минус, результат будет отрицательным: $-(164) = -164$.
answer
$-164$

final_answer
$-164$",,,,,TRUE,alg_expression,substitute,Буквенные выражения,Вычислять значение выражения,5-6 кл.
2_may-aug,"r)<br>$- 1 + p ^ {2} - 3p + 0,2 - 0,5p ^ {2} + 0,8 + 2,4p$","$0,5p^2 - 0,4p$","action
Объединим все члены с $p^2$.
solution
В выражении $-1 + p^2 - 3p + 0,2 - 0,5p^2 + 0,8 + 2,4p$ есть два члена с $p^2$: $p^2$ и $-0,5p^2$. Сложим их: $p^2 - 0,5p^2 = 0,5p^2$.
answer
$0,5p^2$

action
Объединим все члены с $p$.
solution
В выражении есть три члена с $p$: $-3p$, $2,4p$ и $0,2p$ (последний член получается из $0,2$ при объединении констант). Сложим их: $-3p + 2,4p + 0,2p = -0,4p$.
answer
$-0,4p$

action
Объединим все константы.
solution
В выражении есть три константы: $-1$, $0,2$ и $0,8$. Сложим их: $-1 + 0,2 + 0,8 = 0$.
answer
$0$

action
Соберем все части вместе.
solution
Теперь, когда мы объединили все члены с $p^2$, $p$ и константы, соберем их вместе: $0,5p^2 - 0,4p + 0$.
answer
$0,5p^2 - 0,4p$

final_answer
$0,5p^2 - 0,4p$",,,FALSE,FALSE,FALSE,alg_expression,polynomial,Буквенные выражения,Многочлены,1-4 кл.
3_may-aug,2x - (3x-4x) = 30,$10$,"action
Упростим выражение в скобках $3x - 4x$.
solution
Выполним вычитание $3x - 4x$, получим $-x$.
answer
$-x$

action
Подставим упрощённое выражение в исходное уравнение $2x - (-x) = 30$.
solution
Заменим выражение в скобках на $-x$, получим $2x - (-x) = 30$.
answer
$2x - (-x) = 30$

action
Упростим левую часть уравнения $2x - (-x)$.
solution
При вычитании отрицательного числа знак меняется на сложение, получим $2x + x$.
answer
$2x + x$

action
Сложим подобные слагаемые в левой части уравнения $2x + x$.
solution
Сложим $2x$ и $x$, получим $3x$.
answer
$3x$

action
Решим уравнение $3x = 30$.
solution
Чтобы найти $x$, разделим обе части уравнения на $3$, получим $x = \frac{30}{3}$.
answer
$x = 10$

final_answer
$10$",,шаг 1: в action исходное выражение записано неверно,TRUE,FALSE,FALSE,equation,linear,Уравнения (и их системы),Линейные уравнения,1-4 кл.
4_may-aug,"попогм решить пошагово: 1,2x – 2,2 = 0,4x – 0,12","$2,6$","action
Перенесём все члены с переменной $x$ в одну сторону уравнения, а все остальные члены — в другую сторону.
solution
Для этого вычтем $0,4x$ из обеих частей уравнения: $1,2x - 0,4x - 2,2 = -0,12$.
answer
$0,8x - 2,2 = -0,12$

action
Перенесём константу $-2,2$ в правую часть уравнения, добавив $2,2$ к обеим частям.
solution
Прибавим $2,2$ к обеим частям уравнения: $0,8x - 2,2 + 2,2 = -0,12 + 2,2$.
answer
$0,8x = 2,08$

action
Разделим обе части уравнения на $0,8$, чтобы найти $x$.
solution
Разделим обе части уравнения на $0,8$: $x = \frac{2,08}{0,8}$.
answer
$x = 2,6$

final_answer
$2,6$",,"шаг 0: в action ""Перенесём..."", а в answer уравнение с преобразованной левой частью",TRUE,FALSE,FALSE,equation,linear,Уравнения (и их системы),Линейные уравнения,1-4 кл.
5_may-aug,2√ + 5√,$2\sqrt{2} + 5\sqrt{5}$,"action
Сложим коэффициенты при одинаковых корнях $\sqrt{2}$ и $\sqrt{5}$.
solution
В выражении $2\sqrt{2} + 5\sqrt{5}$ коэффициенты при корнях — это числа перед корнями. Для $\sqrt{2}$ коэффициент равен $2$, а для $\sqrt{5}$ — $5$. Так как корни $\sqrt{2}$ и $\sqrt{5}$ не могут быть объединены, мы просто складываем их коэффициенты.
answer
$2\sqrt{2} + 5\sqrt{5}$

final_answer
$2\sqrt{2} + 5\sqrt{5}$",,,,,TRUE,natural,add+sub,Натуральные числа,Сложение и вычитание,10-11 кл.
6_may-aug,"Найдите значение многочлена −(m^2−3mn+n^2) при m=4, n=2",$4$,"action
Подставим значения $m = 4$ и $n = 2$ в выражение $-(m^2 - 3mn + n^2)$.
solution
Подставим значения $m = 4$ и $n = 2$ в выражение $-(m^2 - 3mn + n^2)$, получим $-(4^2 - 3 \cdot 4 \cdot 2 + 2^2)$.
answer
$-(4^2 - 3 \cdot 4 \cdot 2 + 2^2)$

action
Вычислим $4^2$.
solution
Вычислим $4^2$, получим $16$.
answer
$16$

action
Вычислим $3 \cdot 4 \cdot 2$.
solution
Вычислим $3 \cdot 4 \cdot 2$, получим $24$.
answer
$24$

action
Вычислим $2^2$.
solution
Вычислим $2^2$, получим $4$.
answer
$4$

action
Подставим вычисленные значения в выражение $-(16 - 24 + 4)$.
solution
Подставим вычисленные значения в выражение $-(16 - 24 + 4)$, получим $-(16 - 24 + 4)$.
answer
$-(16 - 24 + 4)$

action
Вычислим $16 - 24$.
solution
Вычислим $16 - 24$, получим $-8$.
answer
$-8$

action
Вычислим $-8 + 4$.
solution
Вычислим $-8 + 4$, получим $-4$.
answer
$-4$

action
Вычислим $-(-4)$.
solution
Вычислим $-(-4)$, получим $4$.
answer
$4$

final_answer
$4$",,,TRUE,FALSE,FALSE,alg_expression,substitute,Буквенные выражения,Вычислять значение выражения,1-4 кл.
7_may-aug,$\frac{45^2\times125}{15\times5^3}$,$675$,"action
Разложим числа на простые множители.
solution
Разложим $45$ и $125$ на простые множители: $45 = 3^2 \times 5$, $125 = 5^3$. Это позволит нам упростить исходное выражение, заменив числа их разложением на множители.
answer
$45 = 3^2 \times 5$, $125 = 5^3$

action
Подставим разложения в исходное выражение.
solution
Подставим разложения чисел $45$ и $125$ в исходное выражение $\frac{45^2 \times 125}{15 \times 5^3}$, получим $\frac{(3^2 \times 5)^2 \times 5^3}{3 \times 5 \times 5^3}$. Это позволит нам упростить выражение, используя свойства степеней.
answer
$\frac{(3^2 \times 5)^2 \times 5^3}{3 \times 5 \times 5^3}$

action
Раскроем скобки в числителе.
solution
Раскроем скобки в числителе выражения $\frac{(3^2 \times 5)^2 \times 5^3}{3 \times 5 \times 5^3}$, используя свойство степени $(a \times b)^n = a^n \times b^n$. Получим $\frac{3^4 \times 5^2 \times 5^3}{3 \times 5 \times 5^3}$.
answer
$\frac{3^4 \times 5^2 \times 5^3}{3 \times 5 \times 5^3}$

action
Сложим степени с одинаковыми основаниями в числителе.
solution
Сложим степени с основанием $5$ в числителе выражения $\frac{3^4 \times 5^2 \times 5^3}{3 \times 5 \times 5^3}$, используя свойство степени $a^m \times a^n = a^{m+n}$. Получим $\frac{3^4 \times 5^{2+3}}{3 \times 5 \times 5^3} = \frac{3^4 \times 5^5}{3 \times 5 \times 5^3}$.
answer
$\frac{3^4 \times 5^5}{3 \times 5 \times 5^3}$

action
Сократим степени с одинаковыми основаниями.
solution
Сократим степени с основанием $3$ и $5$ в выражении $\frac{3^4 \times 5^5}{3 \times 5 \times 5^3}$, используя свойство степени $\frac{a^m}{a^n} = a^{m-n}$. Получим $\frac{3^{4-1} \times 5^{5-3}}{1} = 3^3 \times 5^2$.
answer
$3^3 \times 5^2$

action
Вычислим значения степеней.
solution
Вычислим значения степеней $3^3$ и $5^2$. Получим $3^3 = 27$ и $5^2 = 25$.
answer
$3^3 = 27$, $5^2 = 25$

action
Перемножим полученные значения.
solution
Перемножим значения $27$ и $25$, чтобы получить окончательный ответ. Получим $27 \times 25 = 675$.
answer
$675$

final_answer
$675$",,шаг 4: неверно произведено вычисление,FALSE,FALSE,FALSE,calculation,exponent,Числовые выражения (примеры),Степень с натуральным показателем,5-6 кл.
8_may-aug,Найдите значение выражения $\sqrt{9a^2+6ab+b^2}$<br>при a=$\frac{5}{13}$и b=$6\frac{11}{13}$,$8$,"action
Преобразуем смешанное число $b = 6\frac{11}{13}$ в неправильную дробь.
solution
Смешанное число $6\frac{11}{13}$ преобразуется в неправильную дробь путем умножения целой части на знаменатель и добавления числителя: $6 \cdot 13 + 11 = 78 + 11 = 89$. Таким образом, $b = \frac{89}{13}$.
answer
$\frac{89}{13}$

action
Подставим значения $a = \frac{5}{13}$ и $b = \frac{89}{13}$ в выражение $\sqrt{9a^2 + 6ab + b^2}$.
solution
Подставляем значения $a$ и $b$ в выражение: $\sqrt{9\left(\frac{5}{13}\right)^2 + 6\left(\frac{5}{13}\right)\left(\frac{89}{13}\right) + \left(\frac{89}{13}\right)^2}$.
answer
$\sqrt{9\left(\frac{5}{13}\right)^2 + 6\left(\frac{5}{13}\right)\left(\frac{89}{13}\right) + \left(\frac{89}{13}\right)^2}$

action
Вычислим $9\left(\frac{5}{13}\right)^2$.
solution
Сначала найдем квадрат $\frac{5}{13}$: $\left(\frac{5}{13}\right)^2 = \frac{25}{169}$. Затем умножим на 9: $9 \cdot \frac{25}{169} = \frac{225}{169}$.
answer
$\frac{225}{169}$

action
Вычислим $6\left(\frac{5}{13}\right)\left(\frac{89}{13}\right)$.
solution
Умножим $\frac{5}{13}$ на $\frac{89}{13}$: $\frac{5}{13} \cdot \frac{89}{13} = \frac{445}{169}$. Затем умножим на 6: $6 \cdot \frac{445}{169} = \frac{2670}{169}$.
answer
$\frac{2670}{169}$

action
Вычислим $\left(\frac{89}{13}\right)^2$.
solution
Возведем $\frac{89}{13}$ в квадрат: $\left(\frac{89}{13}\right)^2 = \frac{7921}{169}$.
answer
$\frac{7921}{169}$

action
Сложим все три слагаемых: $\frac{225}{169} + \frac{2670}{169} + \frac{7921}{169}$.
solution
Сложим числители, так как знаменатели одинаковые: $\frac{225 + 2670 + 7921}{169} = \frac{10816}{169}$.
answer
$\frac{10816}{169}$

action
Извлечем квадратный корень из $\frac{10816}{169}$.
solution
Извлекаем квадратный корень из числителя и знаменателя: $\sqrt{\frac{10816}{169}} = \frac{\sqrt{10816}}{\sqrt{169}} = \frac{104}{13} = 8$.
answer
$8$

final_answer
$8$",,,TRUE,FALSE,FALSE,alg_expression,substitute,Буквенные выражения,Вычислять значение выражения,7-9 кл.
9_may-aug,решить уравнение (x-5)*3=9,$8$,"action
Разделим обе части уравнения $(x-5) \cdot 3 = 9$ на $3$.
solution
Чтобы избавиться от множителя $3$ в левой части уравнения, разделим обе части уравнения на $3$. Получим $x - 5 = \frac{9}{3}$.
answer
$x - 5 = 3$

action
Прибавим $5$ к обеим частям уравнения $x - 5 = 3$.
solution
Чтобы найти значение $x$, прибавим $5$ к обеим частям уравнения. Получим $x = 3 + 5$.
answer
$x = 8$

final_answer
$8$",,,TRUE,FALSE,FALSE,equation,add+sub,Уравнения (и их системы),Сложение и вычитание,5-6 кл.
10_may-aug,"Студент знает ответы на 25 экзаменационных вопросов из 30. Какова вероятность сдать экзамен, если для этого необходимо ответить не менее чем на два из трёх вопросов?",$\frac{25}{27}$,"action
Определим вероятность того, что студент знает ответ на один вопрос.
solution
Студент знает ответы на 25 вопросов из 30. Вероятность того, что студент знает ответ на один вопрос, равна отношению количества известных ответов к общему количеству вопросов: $\frac{25}{30} = \frac{5}{6}$.
answer
$\frac{5}{6}$

action
Определим вероятность того, что студент не знает ответ на один вопрос.
solution
Вероятность того, что студент не знает ответ на один вопрос, равна $1 - \frac{5}{6} = \frac{1}{6}$.
answer
$\frac{1}{6}$

action
Рассчитаем вероятность того, что студент знает ответ на два вопроса и не знает ответ на один вопрос.
solution
Вероятность того, что студент знает ответ на два вопроса и не знает ответ на один вопрос, рассчитывается как произведение вероятностей для каждого случая: $\binom{3}{2} \left(\frac{5}{6}\right)^2 \left(\frac{1}{6}\right) = 3 \cdot \left(\frac{5}{6}\right)^2 \cdot \left(\frac{1}{6}\right) = 3 \cdot \frac{25}{36} \cdot \frac{1}{6} = \frac{75}{216} = \frac{25}{72}$.
answer
$\frac{25}{72}$

action
Рассчитаем вероятность того, что студент знает ответ на все три вопроса.
solution
Вероятность того, что студент знает ответ на все три вопроса, рассчитывается как $\left(\frac{5}{6}\right)^3 = \frac{125}{216}$.
answer
$\frac{125}{216}$

action
Найдем общую вероятность того, что студент знает не менее двух из трех вопросов.
solution
Общая вероятность равна сумме вероятностей двух случаев: $\frac{25}{72} + \frac{125}{216} = \frac{75}{216} + \frac{125}{216} = \frac{200}{216} = \frac{25}{27}$.
answer
$\frac{25}{27}$

final_answer
$\frac{25}{27}$",,,FALSE,FALSE,FALSE,statistics,probability,Теория вероятности и статистика,Вероятность случайного события,1-4 кл.
